DATAFLOW,MEASURE: Measure,SEX: Sex,AGE: Age,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2016-Q1,121282,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2016-Q2,122310,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2016-Q3,123023,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2016-Q4,123737,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2017-Q1,124360,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2017-Q2,125008,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2017-Q3,125250,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2017-Q4,125519,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2018-Q1,125768,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2018-Q2,126026,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2018-Q3,126960,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2018-Q4,128008,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2019-Q1,128939,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2019-Q2,130013,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2019-Q3,130854,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2019-Q4,131994,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2020-Q1,132929,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2020-Q2,133403,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2020-Q3,134079,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2020-Q4,134767,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2021-Q1,135311,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2021-Q2,136028,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2021-Q3,136517,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2021-Q4,137240,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2022-Q1,137874,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2022-Q2,138581,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,18:18,AUS: Australia,Q: Quarterly,2015-Q1,299305,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,18:18,AUS: Australia,Q: Quarterly,2015-Q2,297678,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,18:18,AUS: Australia,Q: Quarterly,2015-Q3,298353,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,18:18,AUS: Australia,Q: Quarterly,2015-Q4,297642,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,18:18,AUS: Australia,Q: Quarterly,2016-Q1,299405,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,18:18,AUS: Australia,Q: Quarterly,2016-Q2,298160,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,18:18,AUS: Australia,Q: Quarterly,2016-Q3,299507,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,18:18,AUS: Australia,Q: Quarterly,2016-Q4,299408,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,18:18,AUS: Australia,Q: Quarterly,2017-Q1,302303,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,18:18,AUS: Australia,Q: Quarterly,2017-Q2,301565,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,18:18,AUS: Australia,Q: Quarterly,2017-Q3,303218,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,18:18,AUS: Australia,Q: Quarterly,2017-Q4,302569,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,18:18,AUS: Australia,Q: Quarterly,2018-Q1,305998,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,18:18,AUS: Australia,Q: Quarterly,2018-Q2,305871,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,18:18,AUS: Australia,Q: Quarterly,2018-Q3,307054,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,18:18,AUS: Australia,Q: Quarterly,2018-Q4,305744,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,18:18,AUS: Australia,Q: Quarterly,2019-Q1,307640,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,18:18,AUS: Australia,Q: Quarterly,2019-Q2,305108,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,18:18,AUS: Australia,Q: Quarterly,2019-Q3,304245,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,18:18,AUS: Australia,Q: Quarterly,2019-Q4,300100,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,18:18,AUS: Australia,Q: Quarterly,2020-Q1,299484,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,18:18,AUS: Australia,Q: Quarterly,2020-Q2,294516,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,18:18,AUS: Australia,Q: Quarterly,2020-Q3,292731,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,18:18,AUS: Australia,Q: Quarterly,2020-Q4,290805,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,18:18,AUS: Australia,Q: Quarterly,2021-Q1,289969,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,18:18,AUS: Australia,Q: Quarterly,2021-Q2,289076,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,18:18,AUS: Australia,Q: Quarterly,2021-Q3,289651,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,18:18,AUS: Australia,Q: Quarterly,2021-Q4,291036,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,18:18,AUS: Australia,Q: Quarterly,2022-Q1,295991,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,18:18,AUS: Australia,Q: Quarterly,2022-Q2,297850,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,61: 61,AUS: Australia,Q: Quarterly,2015-Q1,126987,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,61: 61,AUS: Australia,Q: Quarterly,2015-Q2,126915,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,61: 61,AUS: Australia,Q: Quarterly,2015-Q3,127444,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,61: 61,AUS: Australia,Q: Quarterly,2015-Q4,128029,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,61: 61,AUS: Australia,Q: Quarterly,2016-Q1,128590,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,61: 61,AUS: Australia,Q: Quarterly,2016-Q2,129208,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,61: 61,AUS: Australia,Q: Quarterly,2016-Q3,130670,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,61: 61,AUS: Australia,Q: Quarterly,2016-Q4,132137,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,61: 61,AUS: Australia,Q: Quarterly,2017-Q1,133479,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,61: 61,AUS: Australia,Q: Quarterly,2017-Q2,134842,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,61: 61,AUS: Australia,Q: Quarterly,2017-Q3,135028,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,61: 61,AUS: Australia,Q: Quarterly,2017-Q4,135251,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,61: 61,AUS: Australia,Q: Quarterly,2018-Q1,135513,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,61: 61,AUS: Australia,Q: Quarterly,2018-Q2,135810,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,61: 61,AUS: Australia,Q: Quarterly,2018-Q3,136550,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,61: 61,AUS: Australia,Q: Quarterly,2018-Q4,137352,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,61: 61,AUS: Australia,Q: Quarterly,2019-Q1,138153,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,1: Males,61: 61,AUS: Australia,Q: Quarterly,2019-Q2,139066,PSNS: Persons,,
